Job,Housing,Credit amount,Duration,Purpose,Risk,CustomerID
1,own,6568,24,business,good,C8036992
2,own,1413,12,car,good,C2624350
2,own,3074,9,radio/TV,good,C8627449
1,own,3835,36,radio/TV,good,C4050882
2,own,5293,27,business,bad,C1031612
3,own,1908,30,business,bad,C3861477
2,own,3342,36,radio/TV,good,C3614667
1,own,932,6,education,good,C5036592
2,own,3104,18,business,good,C7822085
2,own,3913,36,radio/TV,good,C1627651
1,rent,3021,24,furniture/equipment,good,C2714343
2,own,1364,10,car,good,C8616290
1,own,625,12,radio/TV,good,C6448034
2,rent,1200,12,education,good,C7449814
2,own,707,12,radio/TV,good,C2433979
2,own,2978,24,business,good,C1516417
2,own,4657,15,car,good,C1694066
2,own,2613,36,repairs,good,C4614919
2,own,10961,48,radio/TV,bad,C1010413
3,free,7865,12,furniture/equipment,bad,C6415241
2,own,1478,9,radio/TV,bad,C9036068
2,free,3149,24,furniture/equipment,good,C5578819
2,own,4210,36,radio/TV,bad,C4436181
1,free,2507,9,car,good,C7641729
2,own,2141,12,radio/TV,good,C6729054
1,own,866,18,radio/TV,good,C4913779
1,own,1544,4,radio/TV,good,C5114484
3,own,1823,24,radio/TV,bad,C8941429
0,own,14555,6,car,bad,C7413417
1,rent,2767,21,business,bad,C4811988
2,own,1291,12,radio/TV,good,C7210625
2,own,2522,30,radio/TV,good,C8118344
2,own,915,24,car,bad,C5463216
2,own,1595,6,radio/TV,good,C2422772
2,free,4605,48,car,bad,C6273578
2,own,1185,12,business,good,C6024052
1,own,3447,12,education,good,C2222885
2,own,1258,24,business,good,C5637757
2,own,717,12,radio/TV,good,C6730028
2,rent,1204,6,car,good,C4039884
2,own,1925,24,furniture/equipment,good,C5217219
2,rent,433,18,radio/TV,bad,C8027258
1,own,666,6,car,good,C8713867
1,own,2251,12,furniture/equipment,good,C4734292
2,own,2150,30,car,bad,C4440837
2,own,4151,24,furniture/equipment,good,C8330366
2,own,2030,9,furniture/equipment,good,C8725634
1,own,7418,60,radio/TV,good,C6314829
1,own,2684,24,radio/TV,good,C2313646
2,free,2149,12,radio/TV,bad,C7240665
2,own,3812,15,car,good,C2315526
1,own,1154,11,radio/TV,good,C5725511
2,own,1657,12,furniture/equipment,good,C3432715
2,own,1603,24,radio/TV,good,C5054959
3,free,5302,18,car,good,C2212960
1,free,2748,12,education,good,C7529123
1,own,1231,10,car,good,C1433150
2,own,802,15,radio/TV,bad,C6919463
2,own,6304,36,business,good,C5437561
2,own,1533,24,radio/TV,good,C2627439
3,own,8978,14,car,bad,C8930017
2,own,999,24,radio/TV,good,C6713360
2,own,2662,18,car,good,C6020753
2,rent,1402,12,furniture/equipment,good,C1121638
3,free,12169,48,car,good,C3124452
2,own,3060,48,radio/TV,bad,C6139825
1,own,11998,30,repairs,bad,C6339970
2,own,2697,9,radio/TV,good,C8445444
2,own,2404,18,radio/TV,good,C3827774
1,own,1262,12,furniture/equipment,good,C1350444
2,own,4611,6,furniture/equipment,bad,C6212823
3,rent,1901,24,radio/TV,good,C6116118
2,rent,3368,15,car,good,C8419221
2,own,1574,12,furniture/equipment,good,C1442729
1,own,1445,18,radio/TV,good,C8416968
2,own,1520,15,furniture/equipment,good,C2021426
2,own,3878,24,car,good,C3633585
1,own,10722,47,car,good,C7659049
2,own,4788,48,car,good,C4659779
3,free,7582,48,vacation/others,good,C4212084
2,own,1092,12,radio/TV,good,C4330253
2,own,1024,24,radio/TV,bad,C5724515
2,own,1076,12,business,good,C1617353
3,rent,9398,36,car,bad,C6137731
3,free,6419,24,car,good,C2936761
2,free,4796,42,car,good,C2217328
3,own,7629,48,business,good,C6738246
2,own,9960,48,furniture/equipment,bad,C5914069
2,rent,4675,12,car,good,C5729234
1,own,1287,10,car,good,C9017528
2,own,2515,18,furniture/equipment,good,C8232478
2,own,2745,21,furniture/equipment,good,C5054313
0,own,672,6,car,good,C1836615
2,own,3804,36,radio/TV,bad,C6583620
1,own,1344,24,car,bad,C5856314
2,own,1038,10,car,good,C7122169
2,free,10127,48,car,bad,C8237868
2,own,1543,6,furniture/equipment,good,C6430657
1,rent,4811,30,car,good,C6210555
1,own,727,12,radio/TV,bad,C3867376
2,own,1237,8,furniture/equipment,bad,C1619019
1,rent,276,9,car,good,C4724451
0,free,5381,48,vacation/others,good,C2166711
2,own,5511,24,furniture/equipment,good,C7142019
2,own,3749,24,furniture/equipment,good,C5431040
1,own,685,12,car,bad,C3833245
1,own,1494,4,car,good,C7730150
2,own,2746,36,furniture/equipment,bad,C1824141
1,own,708,12,furniture/equipment,good,C7699632
1,own,4351,24,furniture/equipment,good,C8327116
2,own,701,12,education,good,C3633390
1,own,3643,15,furniture/equipment,good,C1312425
3,own,4249,30,car,bad,C2832229
2,own,1938,24,radio/TV,bad,C6715815
3,free,2910,24,car,good,C2968317
2,own,2659,18,furniture/equipment,good,C2335173
2,own,1028,18,car,good,C4822973
1,own,3398,8,car,good,C5155145
2,rent,5801,12,furniture/equipment,good,C2533175
2,own,1525,24,car,good,C1414917
2,own,4473,36,radio/TV,good,C2256815
2,own,1068,6,radio/TV,good,C4941062
3,free,6615,24,car,good,C8439015
2,own,1864,18,education,bad,C8427619
3,own,7408,60,car,bad,C5240490
1,rent,11590,48,car,bad,C4639963
2,rent,4110,24,furniture/equipment,bad,C6942341
3,rent,3384,6,furniture/equipment,bad,C3618786
1,own,2101,13,radio/TV,good,C7385176
2,rent,1275,15,domestic appliances,bad,C1736116
2,own,4169,24,furniture/equipment,good,C4295038
1,own,1521,10,furniture/equipment,good,C8019212
2,free,5743,24,education,good,C2323330
1,rent,3599,21,furniture/equipment,good,C2319933
2,rent,3213,18,radio/TV,good,C2533855
3,own,4439,18,business,good,C5633440
1,own,3949,10,car,good,C8017375
1,own,1459,15,radio/TV,good,C4635764
2,own,882,13,radio/TV,good,C7839175
0,rent,3758,24,radio/TV,good,C8525682
1,own,1743,6,business,good,C5828775
2,free,1136,9,education,bad,C1416721
2,rent,1236,9,domestic appliances,good,C2216655
2,own,959,9,furniture/equipment,bad,C2818947
3,own,3229,18,car,good,C6424571
2,rent,6199,12,radio/TV,bad,C4243422
2,free,727,10,education,good,C2044636
1,own,1246,24,car,bad,C7840526
2,own,2331,12,radio/TV,good,C4592386
3,own,4463,36,radio/TV,bad,C3316631
2,own,776,12,radio/TV,good,C7138131
2,rent,2406,30,furniture/equipment,bad,C1513689
2,free,1239,18,education,good,C5016992
3,own,3399,12,radio/TV,good,C8435940
2,own,2247,12,car,good,C7731989
2,rent,1766,6,furniture/equipment,good,C2711332
0,own,2473,18,furniture/equipment,bad,C2118412
2,own,1542,12,business,good,C7517330
2,own,3850,18,car,good,C7421475
2,rent,3650,18,furniture/equipment,good,C6637388
2,own,3446,36,furniture/equipment,bad,C5622532
2,rent,3001,18,furniture/equipment,good,C8023086
2,own,3079,36,car,good,C3127578
2,own,6070,18,radio/TV,good,C2339538
2,rent,2146,10,furniture/equipment,good,C4631927
3,free,13756,60,car,good,C4422671
3,free,14782,60,vacation/others,bad,C6832564
2,rent,7685,48,business,bad,C8121742
2,own,2320,18,radio/TV,good,C4742133
2,free,846,7,radio/TV,good,C3927332
3,free,14318,36,car,bad,C7025663
1,own,362,6,car,good,C1725213
2,own,2212,20,furniture/equipment,good,C7624259
3,free,12976,18,car,bad,C5022084
2,rent,1283,22,car,good,C4920578
2,own,1330,12,car,good,C3729967
1,own,4272,30,business,good,C8570233
2,own,2238,18,radio/TV,good,C3517288
2,rent,1126,18,radio/TV,good,C3036086
3,own,7374,18,furniture/equipment,good,C7541125
2,own,2326,15,business,good,C2682186
2,own,1449,9,business,good,C1710984
3,own,1820,18,car,good,C7341121
1,rent,983,12,furniture/equipment,good,C7119665
3,free,3249,36,car,good,C8126839
2,own,1957,6,radio/TV,good,C4417351
3,own,2406,9,furniture/equipment,good,C7070052
2,rent,11760,39,education,good,C3013892
3,free,2578,12,furniture/equipment,good,C7035412
2,own,2348,36,furniture/equipment,good,C8320269
2,rent,1223,12,car,bad,C4026839
1,own,1516,24,radio/TV,good,C5531778
2,own,1473,18,radio/TV,good,C4725279
2,own,1887,18,business,good,C6711927
2,own,8648,24,business,bad,C8119619
1,own,802,14,car,good,C2533729
2,own,2899,18,car,good,C6217041
2,own,2039,24,radio/TV,bad,C5225764
2,own,2197,24,car,good,C7614657
2,own,1053,15,radio/TV,good,C2922479
3,own,3235,24,radio/TV,good,C1810771
2,own,939,12,car,bad,C7930782
2,own,1967,24,radio/TV,good,C1935566
3,own,7253,33,car,good,C3220266
3,own,2292,12,business,bad,C7521368
1,rent,1597,10,car,good,C6435850
2,own,1381,24,car,bad,C6017726
2,own,5842,36,car,good,C5842545
1,own,2579,12,car,bad,C2442691
2,rent,8471,18,education,good,C6222482
3,own,2782,21,car,good,C7726316
2,own,1042,18,car,bad,C7418062
2,rent,3186,15,car,good,C2641177
2,own,2028,12,car,good,C2024545
1,own,958,12,car,good,C8489664
3,own,1591,21,furniture/equipment,good,C7191112
2,own,2762,12,furniture/equipment,bad,C8364651
2,rent,2779,18,car,good,C7414857
2,own,2743,28,radio/TV,good,C6221334
2,own,1149,18,radio/TV,good,C6942412
2,own,1313,9,furniture/equipment,good,C5726267
0,free,1190,18,repairs,bad,C1133932
1,own,3448,5,business,good,C1320663
3,own,11328,24,vacation/others,bad,C6936025
3,free,1872,6,furniture/equipment,good,C2414335
2,own,2058,24,repairs,good,C7110942
2,own,2136,9,furniture/equipment,good,C2940277
2,own,1484,12,radio/TV,bad,C6323390
1,rent,660,6,repairs,good,C2626876
2,own,1287,24,car,good,C8420654
0,own,3394,42,repairs,good,C1363243
0,own,609,12,business,bad,C5032368
3,own,1884,12,car,good,C3027152
2,own,1620,12,furniture/equipment,good,C7438449
2,own,2629,20,vacation/others,good,C7038467
1,own,719,12,education,bad,C8525678
3,own,5096,48,furniture/equipment,bad,C7226385
1,rent,1244,9,education,good,C7956076
2,own,1842,36,car,bad,C6373085
2,own,2576,7,radio/TV,good,C8829467
3,own,1424,12,furniture/equipment,good,C2032519
2,own,1512,15,repairs,bad,C6436285
3,own,11054,36,car,good,C3533318
2,own,518,6,radio/TV,good,C3033174
2,own,2759,12,furniture/equipment,good,C7048763
3,own,2670,24,car,good,C3324474
2,own,4817,24,car,bad,C1010014
3,own,2679,24,car,good,C8932324
2,rent,3905,11,car,good,C1713148
2,free,3386,12,car,bad,C5513931
2,own,343,6,domestic appliances,good,C3610638
2,own,4594,18,radio/TV,good,C3430548
2,own,3620,36,furniture/equipment,good,C8138070
2,own,1721,15,car,good,C3139645
3,rent,3017,12,furniture/equipment,good,C4426191
2,own,754,12,education,good,C2020887
2,own,1950,18,business,good,C5010921
2,own,2924,24,car,good,C2925751
1,rent,1659,24,radio/TV,bad,C5021984
2,own,7238,48,radio/TV,good,C7034964
2,own,2764,33,business,good,C5629750
1,own,4679,24,car,good,C6324851
2,rent,3092,24,radio/TV,bad,C8486463
2,own,448,6,education,bad,C2510118
1,own,654,9,car,bad,C7846453
3,own,1238,6,education,good,C2533172
2,own,1245,18,radio/TV,bad,C7310578
2,rent,3114,18,furniture/equipment,bad,C5612811
2,own,2569,39,car,good,C7769251
2,own,5152,24,radio/TV,good,C6017817
1,own,1037,12,business,good,C3830188
2,own,1478,15,furniture/equipment,good,C5136562
1,own,3573,12,radio/TV,good,C7689090
2,own,1201,24,car,good,C6525449
2,rent,3622,30,furniture/equipment,good,C8631841
2,own,960,15,furniture/equipment,good,C5162647
2,own,1163,12,car,good,C1568879
3,own,1209,6,car,bad,C3921512
2,own,3077,12,radio/TV,good,C2417415
2,free,3757,24,car,good,C7932685
1,rent,1418,10,car,good,C5930672
2,rent,3518,6,car,good,C1033159
2,own,1934,12,radio/TV,good,C5040351
3,free,8318,27,business,bad,C4617973
2,own,1237,6,radio/TV,good,C2423987
2,own,368,6,radio/TV,good,C3925430
1,rent,2122,12,car,good,C2520378
2,own,2996,24,furniture/equipment,bad,C2440682
3,rent,9034,36,furniture/equipment,bad,C6988226
2,own,1585,24,furniture/equipment,good,C7622115
1,own,1301,18,radio/TV,good,C5124180
2,own,1323,6,car,good,C2041148
2,own,3123,24,car,bad,C6534886
2,free,5493,36,car,good,C8917572
2,own,1126,9,radio/TV,good,C7541578
2,own,1216,24,radio/TV,bad,C2676521
2,rent,1207,24,car,bad,C7321527
1,own,1309,10,car,bad,C9037242
2,own,2360,15,car,good,C3123591
3,own,6850,15,car,bad,C6655168
2,own,1413,24,radio/TV,good,C7315285
3,own,8588,39,car,good,C6724330
2,own,759,12,car,bad,C8025153
3,free,4686,36,car,good,C1138469
2,rent,2687,15,business,good,C7041641
2,rent,585,12,radio/TV,good,C1185657
2,own,2255,24,car,good,C5450789
2,own,609,6,car,good,C6930689
1,own,1361,6,car,good,C1020852
2,rent,7127,36,furniture/equipment,bad,C3718592
2,own,1203,6,car,good,C7034050
2,free,700,6,radio/TV,good,C8422278
2,free,5507,24,repairs,good,C5740458
2,own,3190,18,radio/TV,bad,C7782329
2,free,7119,48,furniture/equipment,bad,C6216316
2,own,3488,24,car,good,C2139512
1,own,1113,18,radio/TV,good,C6821542
2,own,7966,26,car,good,C5533891
2,own,1532,15,education,good,C4348757
1,own,1503,4,radio/TV,good,C6424950
2,rent,2302,36,radio/TV,bad,C7432046
1,own,662,6,car,good,C3138453
2,own,2273,36,education,good,C2720169
2,rent,2631,15,car,bad,C2822067
2,rent,1503,12,car,good,C8331991
2,own,1311,24,radio/TV,good,C1433478
2,own,3105,24,radio/TV,good,C8341764
2,rent,2319,21,education,bad,C5716824
3,own,1374,6,car,good,C5614645
2,own,3612,18,furniture/equipment,good,C6812313
3,free,7763,48,car,bad,C3073923
1,own,3049,18,furniture/equipment,good,C6034480
2,rent,1534,12,radio/TV,bad,C4326271
2,free,2032,24,car,good,C6659123
2,own,6350,30,furniture/equipment,bad,C1129074
1,own,2864,18,furniture/equipment,bad,C8937512
1,own,1255,12,car,good,C8314468
2,free,1333,24,car,bad,C5432467
2,own,2022,24,car,good,C1326971
2,own,1552,24,radio/TV,good,C4233613
1,own,626,12,radio/TV,bad,C5610022
2,free,8858,48,car,good,C5838584
2,own,996,12,repairs,good,C4124742
1,own,1750,6,radio/TV,good,C3424730
2,own,6999,48,radio/TV,bad,C8730631
2,own,1995,12,car,good,C3725342
3,own,1199,9,education,good,C2023819
2,own,1331,12,radio/TV,bad,C5925782
2,own,2278,18,car,bad,C2942745
2,own,5003,21,car,bad,C1019941
2,own,3552,24,furniture/equipment,bad,C8067212
1,own,1928,18,furniture/equipment,bad,C2725881
2,free,2964,24,car,good,C2432919
1,rent,1546,24,radio/TV,bad,C1741963
2,own,683,6,radio/TV,good,C8487769
2,free,12389,36,car,bad,C6428770
3,own,4712,24,business,good,C2490541
2,rent,1553,24,radio/TV,good,C4735790
2,own,1372,12,car,bad,C7921654
2,own,2578,24,radio/TV,good,C6229665
2,own,3979,48,radio/TV,good,C5919930
2,own,6758,48,radio/TV,bad,C8526319
1,rent,3234,24,furniture/equipment,bad,C6067532
2,own,5954,30,radio/TV,good,C7827887
3,rent,5433,24,car,good,C5934046
1,own,806,15,business,good,C3755314
1,own,1082,9,radio/TV,good,C8440945
2,own,2788,15,furniture/equipment,good,C3928757
2,own,2930,12,radio/TV,good,C5772464
2,own,1927,24,education,good,C4031969
2,own,2820,36,car,bad,C3527487
1,own,937,24,education,good,C8640458
2,own,1056,18,car,bad,C2038425
1,own,3124,12,car,good,C2724566
2,rent,1388,9,furniture/equipment,good,C7334761
1,rent,2384,36,repairs,bad,C7339257
3,free,2133,12,car,good,C7541287
2,rent,2039,18,furniture/equipment,bad,C6519036
2,rent,2799,9,car,good,C2913840
1,own,1289,12,furniture/equipment,good,C4331332
1,own,1217,18,domestic appliances,bad,C2525744
2,own,2246,12,furniture/equipment,bad,C5626911
1,own,385,12,radio/TV,good,C3462261
2,rent,1965,24,car,good,C5442338
1,own,1572,21,business,good,C4030845
1,rent,2718,24,car,bad,C7931021
3,own,1358,24,vacation/others,bad,C1117435
1,own,931,6,car,bad,C3428683
2,rent,1442,24,car,bad,C3014084
1,own,4241,24,business,bad,C8523956
2,own,2775,18,car,bad,C5816767
2,free,3863,24,business,good,C3830279
2,own,2329,7,radio/TV,good,C8118589
2,own,918,9,furniture/equipment,bad,C6593037
1,free,1837,24,education,bad,C4099744
3,own,3349,36,furniture/equipment,bad,C3032588
2,own,1275,10,furniture/equipment,good,C6437255
2,own,2828,24,furniture/equipment,good,C8619560
3,own,4526,24,business,good,C3417412
2,free,2671,36,radio/TV,bad,C4993783
2,own,2051,18,radio/TV,good,C3819484
2,free,1300,15,car,good,C6436989
2,own,741,12,domestic appliances,bad,C5923158
1,free,1240,10,car,bad,C3435244
2,own,3357,21,radio/TV,good,C3249744
2,rent,3632,24,car,good,C5611973
2,own,1808,18,furniture/equipment,bad,C4636542
3,own,12204,48,business,good,C2113650
3,free,9157,60,radio/TV,good,C5521868
2,rent,3676,6,car,good,C8231751
2,rent,3441,30,furniture/equipment,bad,C6181033
1,own,640,12,car,good,C2783659
2,own,3652,21,business,good,C3886589
2,own,1530,18,car,bad,C4516345
2,own,3914,48,business,bad,C2172686
2,rent,1858,12,furniture/equipment,good,C5019451
2,free,2600,18,radio/TV,bad,C4428273
2,own,1979,15,radio/TV,good,C2831643
2,own,2116,6,furniture/equipment,good,C4820112
2,own,1437,9,car,bad,C4614324
2,own,4042,42,furniture/equipment,good,C8711956
1,own,3832,9,education,good,C4633722
2,own,3660,24,radio/TV,good,C3017642
2,own,1553,18,furniture/equipment,bad,C5426537
2,own,1444,15,radio/TV,good,C2431624
2,rent,1980,9,furniture/equipment,bad,C5472751
1,own,1355,24,car,bad,C3930647
2,own,1393,12,education,good,C4924046
2,own,1376,24,radio/TV,good,C6827653
2,own,15653,60,radio/TV,good,C1024671
2,own,1493,12,radio/TV,good,C5324836
2,own,4370,42,radio/TV,bad,C1299829
0,own,750,18,education,bad,C1721564
1,own,1308,15,repairs,good,C4130922
3,own,4623,15,education,bad,C2957930
2,own,1851,24,radio/TV,good,C2218463
3,own,1880,18,radio/TV,good,C1022465
2,rent,7980,36,business,bad,C5330952
2,own,4583,30,furniture/equipment,good,C3435642
2,own,1386,12,car,bad,C1323415
2,free,947,24,car,bad,C4912940
1,rent,684,12,education,bad,C7119065
3,free,7476,48,education,good,C6979411
1,own,1922,12,furniture/equipment,bad,C4523286
2,own,2303,24,car,bad,C3128524
3,own,8086,36,car,bad,C6679546
2,own,2346,24,car,good,C4134728
2,free,3973,14,car,good,C6432362
1,own,888,12,car,bad,C1253678
2,own,10222,48,radio/TV,good,C8032848
2,own,4221,30,business,good,C1630319
2,own,6361,18,furniture/equipment,good,C8326611
2,rent,1297,12,radio/TV,good,C8431577
2,own,900,12,car,bad,C3199819
2,own,2241,21,furniture/equipment,good,C6312413
3,own,1050,6,furniture/equipment,good,C7722422
1,own,1047,6,education,good,C6631557
3,own,6314,24,vacation/others,good,C7535754
2,own,3496,30,furniture/equipment,good,C1735473
2,own,3609,48,business,good,C8932791
2,rent,4843,12,car,bad,C8024864
2,own,3017,30,radio/TV,good,C2767878
